"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:10 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.893105","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092736","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123236","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80c0","0x80c1","0x0017","0x0018","0x0325","0x0326","0x0121","0x8000"
"FAPP-cpupa","Process","0","0","-","all","0","48","1723117120","33922043703","97356349440","33799291","235371957","62041358","12790065","10206824","28689090816","18262664680"
"FAPP-cpupa","Thread","0","0","0","all","0","1","289314656","5324526765","2028257280","32220091","6558624","3803780","394604","299690","4501295273","380776347"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30355936","607084658","2028257280","33600","6263832","1415104","435650","299921","510173907","380465660"
"FAPP-cpupa","Thread","0","0","2","all","0","1","38515840","769166207","2028257280","33600","3369287","896889","301506","259572","511193791","380465660"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30110880","602182791","2028257280","33600","4715466","1181565","339689","276868","509873424","380465660"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30172256","602314974","2028257280","33600","7172523","1696451","346693","261023","510467858","380465870"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30260000","604058221","2028257280","33600","2945726","852635","169089","183335","510577630","380465663"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30310560","606175843","2028257280","33600","5521546","1317181","273149","242612","510555762","380465660"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30129024","602483641","2028257280","33600","3593323","953627","200187","191199","509983435","380465660"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30067552","599125684","2028257280","33600","5190602","1389292","250266","212843","511391754","380465870"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30058272","600033615","2028257280","33600","6242415","1474633","284669","214475","510596324","380465660"
"FAPP-cpupa","Thread","0","0","10","all","0","1","38509632","770157665","2028257280","33600","4277344","1227409","222890","207674","511896034","380465660"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30389056","607744946","2028257280","33600","3721786","1012186","219443","208231","509810472","380465660"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30081760","576519782","2028257280","33600","6500204","1561159","279690","207713","568786193","380465870"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30160480","602067101","2028257280","33600","5188032","1413669","271088","224261","511772277","380465660"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30071328","601391388","2028257280","33600","4622105","1065818","242139","207694","510028944","380465660"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30199200","602859407","2028257280","33600","3427536","1059721","240160","202532","510920320","380465660"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30092800","600686232","2028257280","33600","3516328","975964","232857","187904","510118469","380465870"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30102464","602013021","2028257280","33600","9813783","2132819","325112","205097","509621802","380465660"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30252224","605008081","2028257280","33600","2877565","779413","219583","173822","510472751","380465660"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30055072","601065847","2028257280","33600","3055803","886977","240889","185296","511421160","380465660"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30166016","601101005","2028257280","33600","4129887","1173447","237805","176438","510963381","380465870"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30597504","611914829","2028257280","33600","4090163","1241120","243803","181901","511161418","380465660"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30238336","603634551","2028257280","33600","6509646","1413683","259573","184177","509723085","380465660"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30139104","602746591","2028257280","33600","4737082","1300018","251960","184452","510619827","380465660"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30080896","595669850","2028257280","33600","4318688","1275894","271372","208380","589403912","380465870"
