"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:42 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.825203","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091644","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123644","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8091","0x8092","0x80bc","0x80af","0x809f","0x009f","0x8043","0x0012"
"FAPP-cpupa","Process","0","0","-","all","0","48","1703667328","33725746599","3495072","221865","0","0","0","3020589","1021048","1889307369"
"FAPP-cpupa","Thread","0","0","0","all","0","1","282524512","5379212544","72814","4725","0","0","0","2137859","231448","1093139409"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30132704","602619184","72814","4620","0","0","0","10983","16800","15863581"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30329312","605411670","72814","4620","0","0","0","10936","16800","15252868"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30142464","601737525","72814","4620","0","0","0","10936","16800","15792949"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30138560","601655733","72814","4620","0","0","0","10936","16800","15453265"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30136704","602698729","72814","4620","0","0","0","10936","16800","15698285"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30307680","606117375","72814","4620","0","0","0","10936","16800","15328787"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30413344","608232165","72814","4620","0","0","0","10936","16800","15983614"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30336160","606687999","72814","4620","0","0","0","10936","16800","15200343"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30866112","617285977","72814","4620","0","0","0","10984","16800","15503620"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30140672","601694857","72814","4620","0","0","0","10936","16800","15529983"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30139872","602693282","72814","4620","0","0","0","10936","16800","15442895"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30266496","580169478","72814","4620","0","0","0","133817","16800","36379184"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30292960","604689541","72814","4620","0","0","0","10936","16800","15586674"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30216992","603201661","72814","4620","0","0","0","10936","16800","15644381"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30115392","601171622","72814","4620","0","0","0","10936","16800","15237254"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30267360","604225885","72814","4620","0","0","0","10936","16800","15669605"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30215456","604272611","72814","4620","0","0","0","10936","16800","15719558"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30301184","605988385","72814","4620","0","0","0","10936","16800","15638977"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30290272","604675281","72814","4620","0","0","0","10936","16800","15505104"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30116160","601188507","72814","4620","0","0","0","10936","16800","15144592"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30296800","604785828","72814","4620","0","0","0","10936","16800","15330144"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30109568","601059166","72814","4620","0","0","0","10936","16800","15652065"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30272064","605405417","72814","4620","0","0","0","10936","16800","15332664"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30311392","590164077","72814","4620","0","0","0","133817","16800","34739657"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30111904","601100639","72814","4620","0","0","0","10936","16800","15303480"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30119392","602353210","72814","4620","0","0","0","10936","16800","15698947"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30307552","606115726","72814","4620","0","0","0","10936","16800","15759182"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30132000","602604431","72814","4620","0","0","0","10936","16800","15278554"
