"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:46 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.860604","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091118","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124118","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80a5","0x80a6","0x8038","0x0105","0x0113","0x0108","0x0112","0x011a"
"FAPP-cpupa","Process","0","0","-","all","0","48","1723903584","34046117919","0","0","65824279","41772354","47859528","4783113","55889595","4053853440"
"FAPP-cpupa","Thread","0","0","0","all","0","1","286064640","5365689967","0","0","64402999","946438","32543682","99751","1178004","84455280"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30366336","606194561","0","0","30240","868593","336072","99646","1174378","84455280"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30310048","605084821","0","0","30240","868597","336077","99646","1174383","84455280"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30274016","605443777","0","0","30240","868600","336094","99646","1174383","84455280"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30151744","601903237","0","0","30240","868803","336492","99646","1174378","84455280"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30098848","600849243","0","0","30240","868597","336077","99646","1174383","84455280"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30316160","606225074","0","0","30240","868597","336077","99646","1174383","84455280"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30282336","604515146","0","0","30240","868597","336077","99646","1174383","84455280"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30311648","606196887","0","0","30240","868807","336497","99646","1174383","84455280"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30198656","603937901","0","0","30240","868597","336077","99646","1174383","84455280"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30093344","600736797","0","0","30240","868593","336072","99646","1174378","84455280"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30250688","604976396","0","0","30240","868597","336077","99646","1174383","84455280"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30605600","594960959","0","0","30240","868791","336477","99646","1174363","84455280"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30302688","605958377","0","0","30240","868585","336062","99646","1174368","84455280"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30139264","602752412","0","0","30240","868585","336062","99646","1174368","84455280"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30106624","602095354","0","0","30240","868585","336062","99646","1174368","84455280"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30350496","605893434","0","0","30240","868799","321367","99646","1159253","84455280"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30146112","600727018","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30126720","602431448","0","0","30240","868589","320947","99646","1159253","84455280"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30307648","605995501","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30180672","603577657","0","0","30240","868799","321367","99646","1159253","84455280"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30287136","604582711","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30133728","600479950","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30125120","601384267","0","0","30240","868589","320947","99646","1159253","84455280"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30215264","579266914","0","0","30240","868791","321357","99646","1159243","84455280"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30104864","602062708","0","0","30240","868585","320942","99646","1159248","84455280"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30340960","605704512","0","0","30240","868581","320937","99646","1159243","84455280"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30128224","602528704","0","0","30240","868585","320942","99646","1159248","84455280"
