"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:49 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.739857","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092143","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124024","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Process","0","0","-","all","0","48","1745430016","34571250326","29532369800","248907242","0","29167385721","11778884","1735152437","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","273989824","5195714321","4737092314","70619175","0","4632130771","780290","933326856","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","29971264","598301298","521478268","3786467","0","515949127","228408","14929540","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","29997792","598822811","523169000","3767236","0","517638644","238161","15598402","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","36894752","737860423","521508093","3779592","0","515976175","232038","14930204","0","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","29977952","598428917","521789913","3784665","0","516258828","235705","15097372","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","29986432","598597230","521472587","3794639","0","515943860","231345","14922301","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","37167968","742226691","522366313","3777687","0","516833613","237768","15310732","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","29963552","598147894","522572261","3764228","0","517044487","235556","15382366","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","29980352","599571905","521380431","3801351","0","515851103","226587","14884600","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","29959328","598062020","522798181","3796034","0","517271224","238079","15469563","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","36989536","738665697","521701111","3782293","0","516169612","237676","15068580","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","36885696","736575063","522361994","3786293","0","516829731","238572","15303702","0","0"
"FAPP-cpupa","Thread","0","0","12","all","0","1","29954112","597972901","641952906","3830048","0","636345275","242279","55919518","0","0"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30000448","599974902","522279577","3810130","0","516752648","236235","15216864","0","0"
"FAPP-cpupa","Thread","0","0","14","all","0","1","29940768","598781802","521605387","3776024","0","516078341","234929","15031711","0","0"
"FAPP-cpupa","Thread","0","0","15","all","0","1","29967360","599313526","522052303","3769714","0","516524305","234512","15193657","0","0"
"FAPP-cpupa","Thread","0","0","16","all","0","1","29948416","597863083","523114920","3797094","0","517587866","233842","15527558","0","0"
"FAPP-cpupa","Thread","0","0","17","all","0","1","29940096","597696543","522464401","3799815","0","516937390","239936","15295962","0","0"
"FAPP-cpupa","Thread","0","0","18","all","0","1","29972736","598316721","522497928","3793093","0","516971742","239235","15308954","0","0"
"FAPP-cpupa","Thread","0","0","19","all","0","1","29961408","599194477","523007787","3779426","0","517481203","230688","15554184","0","0"
"FAPP-cpupa","Thread","0","0","20","all","0","1","29961984","598132506","521743590","3803912","0","516217496","230727","15029603","0","0"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30010240","599094080","522085589","3778469","0","516559463","235133","15218283","0","0"
"FAPP-cpupa","Thread","0","0","22","all","0","1","36886912","736616558","521253983","3809639","0","515723415","229892","14854128","0","0"
"FAPP-cpupa","Thread","0","0","23","all","0","1","29942336","597660241","523204658","3802370","0","517678429","238081","15564723","0","0"
"FAPP-cpupa","Thread","0","0","24","all","0","1","29975232","593540976","602441352","3842112","0","596854414","246937","42749542","0","0"
"FAPP-cpupa","Thread","0","0","25","all","0","1","36906720","738099028","521988987","3798418","0","516457780","245160","15129255","0","0"
"FAPP-cpupa","Thread","0","0","26","all","0","1","29955040","599002356","521844812","3807167","0","516316025","241105","15081337","0","0"
