"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:53 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.872051","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091733","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124068","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8095","0x8096","0x807c","0x800e","0x0109","0x010a","0x0077","-"
"FAPP-cpupa","Process","0","0","-","all","0","48","1734866336","34244747792","1195296","20265","0","0","40781060","33725299","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","287209280","5367625009","24902","525","0","0","977969","32295385","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","29996064","599887704","24902","420","0","0","846828","30385","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30068352","600238876","24902","420","0","0","846828","30381","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30018720","600283363","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","29996800","598815669","24902","420","0","0","847035","30588","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","37231008","743492242","24902","420","0","0","846825","30382","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","29995168","598768115","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30034368","600653825","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30002176","600009995","24902","420","0","0","847035","30588","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","37192672","743762499","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30006432","600093737","24902","420","0","0","846825","30382","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30025760","599378152","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","12","all","0","1","37285952","739712532","24902","420","0","0","847035","30580","0","0"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30072768","601420010","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30020768","598219314","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30007840","599043288","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30118752","602336929","24902","420","0","0","847035","30588","0","0"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30033920","600644657","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30111360","602191525","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30079328","600448711","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30053696","601038067","24902","420","0","0","847035","30588","0","0"
"FAPP-cpupa","Thread","0","0","21","all","0","1","29968032","598245673","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30028608","598367959","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","23","all","0","1","29970592","599376049","24902","420","0","0","846825","30378","0","0"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30012576","583184970","24902","420","0","0","847035","30576","0","0"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30001184","599988308","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30065920","600193370","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30017984","600325824","24902","420","0","0","846825","30370","0","0"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30023936","600444775","24902","420","0","0","847035","30580","0","0"
"FAPP-cpupa","Thread","0","0","29","all","0","1","37220192","743265777","24902","420","0","0","846825","30370","0","0"
