"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:56 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.861933","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092291","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124138","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0230","0x0231","0x0232","0x0233","0x0234","0x0235","0x0236","-"
"FAPP-cpupa","Process","0","0","-","all","0","48","1725758848","33898309752","416966980","0","0","166132959","0","0","158638794","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","286197632","5186592895","9054244","0","0","4590789","0","0","3674027","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","37209632","743058555","8730409","0","0","2239222","0","0","3201854","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30020032","599261111","8408454","0","0","2559395","0","0","3060482","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","29976672","599499287","8693660","0","0","3091309","0","0","3335563","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","37202592","742875213","8838503","0","0","4816239","0","0","3237473","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30031136","600587709","8526082","0","0","1819459","0","0","2975011","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30052256","599907101","8823375","0","0","3626517","0","0","3362742","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","29986080","599684941","8547241","0","0","3213109","0","0","3024083","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30005760","600079223","8574323","0","0","3979921","0","0","3080667","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","37095360","740768114","8816635","0","0","2791359","0","0","3118705","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30021568","600340084","8569447","0","0","2059785","0","0","3084677","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","29991808","598708743","8870288","0","0","5208028","0","0","3231825","0"
"FAPP-cpupa","Thread","0","0","12","all","0","1","29980416","574514170","8588578","0","0","5868086","0","0","3186120","0"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30008064","600126828","8886945","0","0","3895639","0","0","3417091","0"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30025856","600483152","8582312","0","0","2552588","0","0","3122752","0"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30027264","598328546","8825907","0","0","2195668","0","0","3314043","0"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30045184","600869291","8711182","0","0","3914305","0","0","3384099","0"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30020992","599236430","8617077","0","0","4455929","0","0","3274836","0"
"FAPP-cpupa","Thread","0","0","18","all","0","1","29979584","599557765","8669036","0","0","2850474","0","0","3364107","0"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30024192","599363170","8707998","0","0","2825979","0","0","3413334","0"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30077504","600382806","8686858","0","0","5459081","0","0","3391912","0"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30041472","600793469","8610718","0","0","2037138","0","0","3310450","0"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30024960","599365556","8668364","0","0","3790678","0","0","3344750","0"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30002240","600007629","8747513","0","0","3005341","0","0","3401365","0"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30036320","585753621","8725513","0","0","3993905","0","0","3405094","0"
"FAPP-cpupa","Thread","0","0","25","all","0","1","37123744","742438546","8708233","0","0","3330779","0","0","3381784","0"
"FAPP-cpupa","Thread","0","0","26","all","0","1","29976256","598400346","8690457","0","0","2695031","0","0","3357500","0"
"FAPP-cpupa","Thread","0","0","27","all","0","1","29994656","598766832","8639279","0","0","3749993","0","0","3311817","0"
"FAPP-cpupa","Thread","0","0","28","all","0","1","29977984","598435897","8711191","0","0","4696060","0","0","3365675","0"
