"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:00 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.886844","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091305","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123656","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Process","0","0","-","all","0","48","1708324864","33606757386","0","0","0","80125283816","67798778376","5010578675","4238779645","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","288688672","5290209590","0","0","0","16082249156","14462379022","1005194190","903925287","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","29984320","599649604","0","0","0","1365083144","1114452272","85374181","69676946","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","29897696","596830618","0","0","0","1365236282","1112794204","85385561","69571440","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30203296","604033063","0","0","0","1366053864","1113229960","85437469","69597875","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","29887424","596625312","0","0","0","1369346136","1112160646","85640026","69534312","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","29879488","596461066","0","0","0","1365536116","1111869946","85404069","69513895","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","29894240","597796199","0","0","0","1365721556","1113511098","85411686","69620518","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","29947200","598908265","0","0","0","1365876866","1114184980","85421556","69662475","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","29970976","599385541","0","0","0","1365709402","1115278202","85414793","69727047","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","29959360","599151333","0","0","0","1365616492","1111488248","85404807","69494378","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","36646528","731794186","0","0","0","1367712594","1114023858","85538578","69650063","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","29872064","597406352","0","0","0","1364585140","1113252326","85346597","69598362","0"
"FAPP-cpupa","Thread","0","0","12","all","0","1","29911264","582118174","0","0","0","1369756542","1514580968","85656972","94694324","0"
"FAPP-cpupa","Thread","0","0","13","all","0","1","29928768","597452310","0","0","0","1362845264","1114640154","85225892","69697185","0"
"FAPP-cpupa","Thread","0","0","14","all","0","1","29896928","595728384","0","0","0","1362700590","1116431180","85226390","69799435","0"
"FAPP-cpupa","Thread","0","0","15","all","0","1","36697184","732819589","0","0","0","1363206234","1115339676","85255429","69733886","0"
"FAPP-cpupa","Thread","0","0","16","all","0","1","29874592","597458025","0","0","0","1360386045","1116604770","85081114","69819056","0"
"FAPP-cpupa","Thread","0","0","17","all","0","1","29981184","598503546","0","0","0","1364021955","1115442449","85309963","69744763","0"
"FAPP-cpupa","Thread","0","0","18","all","0","1","29875200","596367928","0","0","0","1360248778","1116579345","85073606","69816280","0"
"FAPP-cpupa","Thread","0","0","19","all","0","1","29878016","597526321","0","0","0","1358687838","1117474214","84980045","69868207","0"
"FAPP-cpupa","Thread","0","0","20","all","0","1","29873824","596361861","0","0","0","1360605554","1117738459","85090247","69894502","0"
"FAPP-cpupa","Thread","0","0","21","all","0","1","29870304","597371789","0","0","0","1359497877","1117821040","85025695","69894892","0"
"FAPP-cpupa","Thread","0","0","22","all","0","1","29921280","598389487","0","0","0","1360333604","1117728281","85072729","69894376","0"
"FAPP-cpupa","Thread","0","0","23","all","0","1","29956448","599025458","0","0","0","1360865466","1117121139","85106617","69855760","0"
"FAPP-cpupa","Thread","0","0","24","all","0","1","29966944","592270170","0","0","0","1367925782","1496016253","85552372","93532229","0"
"FAPP-cpupa","Thread","0","0","25","all","0","1","29923104","598427326","0","0","0","1359704758","1116402283","85040626","69804261","0"
"FAPP-cpupa","Thread","0","0","26","all","0","1","29881472","597594484","0","0","0","1360732474","1116306301","85102662","69800478","0"
