"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:03 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.858072","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092290","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123734","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Process","0","0","-","all","0","48","1723322528","33912404149","2818601372","153028919","120253810","28478430722","401335205","355755935","360210709","355949413"
"FAPP-cpupa","Thread","0","0","0","all","0","1","285811424","5236163369","59776716","3445022","2813221","4293341250","26121709","16811536","16701160","16945695"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30583744","611641716","59020505","3438735","2802298","509769644","23795628","16770169","16673533","16926216"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30122976","602356430","59015080","3438595","2802103","510297637","23790551","16768602","16672368","16924899"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30185056","602565327","58950606","3436417","2801653","510263413","23767099","16761768","16665073","16918565"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30273600","605435783","59018640","3438711","2802233","509751128","23793599","16769602","16673003","16925657"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30122304","600229337","58948560","3436327","2801492","510040526","23764870","16761212","16663823","16917730"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30116736","602187237","59006893","3438115","2802022","510602660","23786176","16768202","16671741","16924211"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30248192","603836320","59016820","3438619","2802065","509927320","23791673","16768945","16671960","16924854"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30064160","601248613","59015846","3438666","2802141","510223615","23790398","16768815","16672353","16925076"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30076192","601489165","59015909","3438668","2802144","510652365","23790480","16768866","16672374","16925087"
"FAPP-cpupa","Thread","0","0","10","all","0","1","36658304","733128089","59021579","3438772","2802328","510930329","23797273","16771068","16674195","16926252"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30198624","603936412","59017463","3438698","2802197","509813599","23792271","16769220","16672741","16925375"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30255648","589078069","58524221","3051501","2323380","594189588","3146757","12260857","267165","60413"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30073696","601439638","58595323","3052978","2323826","510512164","3148720","12274571","267168","60328"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30313152","605142007","58597224","3052940","2323775","510328796","3149960","12274275","267486","60972"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30347296","606907724","58599477","3053055","2323973","510138673","3150455","12275624","268025","61119"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30070432","601374551","58595244","3052970","2323821","509850850","3148697","12274566","267154","60326"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30211136","602015741","58522456","3051407","2323183","511243548","3146151","12261313","266576","60204"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30215072","604266291","58596999","3053016","2323884","509918909","3149484","12274938","267577","60657"
"FAPP-cpupa","Thread","0","0","19","all","0","1","36662656","732135283","58531778","3051556","2323911","510778982","3148546","12264183","269540","61070"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30062976","600129766","58593640","3052873","2323659","510258339","3148385","12273499","266705","60211"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30063584","601237257","58595217","3052967","2323818","510198091","3148689","12274566","267148","60326"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30246912","603805660","58596156","3052933","2323761","510066589","3149468","12274081","267276","60626"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30071232","601389153","58595261","3052974","2323821","510656410","3148705","12274566","267157","60326"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30124384","595478625","58488401","3147002","2399408","587449551","3226004","575284","12683002","421051"
