"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:17:07 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.844520","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092108","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124355","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0316","0x0314","0x0315","0x031e","0x031c","0x031d","0x0391","0x03ae"
"FAPP-cpupa","Process","0","0","-","all","0","48","1709143232","33904394571","2491803364","309","0","734969826","261","0","1899245872","93212757"
"FAPP-cpupa","Thread","0","0","0","all","0","1","284456192","5479796998","101564386","0","0","26047262","27","0","52427575","7671524"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30067136","601308930","100863070","0","0","23744574","9","0","51766400","7665051"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30123456","601337793","100861616","0","0","23743858","9","0","51765754","7664810"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30403232","608029769","100864124","0","0","23749092","9","0","51766983","7665145"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30110400","602042751","100861650","0","0","23744260","9","0","51765729","7664961"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30379744","606453836","100782133","0","0","23724158","9","0","51705232","7658878"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30135040","602665719","100863342","0","0","23745452","9","0","51766527","7665080"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30080352","600472715","100861430","0","0","23743207","9","0","51765656","7664784"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30088992","601743833","100863174","0","0","23744787","9","0","51766435","7665057"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30409824","608158211","100864190","0","0","23749257","9","0","51767035","7665148"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30065376","600177729","100861350","0","0","23743084","9","0","51765622","7664778"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30134304","601558827","100781793","0","0","23721047","9","0","51704958","7658828"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30074592","576349144","35432769","0","0","12352797","0","0","35370241","16167"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30213984","604174148","35486445","0","0","12367513","0","0","35423586","17488"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30106720","601000741","35485904","0","0","12366538","0","0","35423465","17341"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30141152","602788492","35486883","0","0","12367788","0","0","35424009","17504"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30107680","601997508","35482315","0","0","12364572","0","0","35419543","17421"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30207136","604108509","35487028","0","0","12368094","0","0","35424098","17505"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30333568","605547193","35433704","0","0","12355588","0","0","35370796","17259"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30130368","602571407","35486866","0","0","12367735","0","0","35423997","17504"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30069280","600202226","35432567","0","0","12353514","0","0","35369993","17233"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30082496","600518933","35432931","0","0","12353946","0","0","35370280","17250"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30105824","602080117","35486787","0","0","12367613","0","0","35423945","17504"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30691584","613727984","35487598","0","0","12370585","0","0","35424357","17514"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30127904","596615201","35671820","26","0","12452213","12","0","35466504","80475"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30389984","605604711","35583273","25","0","12440596","9","0","35378199","80773"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30103360","600906801","35584325","26","0","12441468","12","0","35379266","80780"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30114944","601195596","35670350","25","0","12451687","9","0","35465194","81267"
