"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:14 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.888921","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091581","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123928","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Process","0","0","-","all","0","48","1713226816","33783201226","24217798249","1698315447","18141233582","75756172","1291998545","4376299454","0","3397445616"
"FAPP-cpupa","Thread","0","0","0","all","0","1","288896096","5367482687","3426950671","556919862","2369779422","4611439","761650236","215477195","0","169465703"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30148288","601828271","441283322","23864100","283956998","5869700","9054470","141259451","0","122358202"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30133312","601532880","440877009","23920647","285293927","4360461","8906274","139666287","0","120896442"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30120032","602364537","442041064","23899502","290295197","4110738","8930683","135899217","0","117007288"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30319360","606352265","446186473","23801146","283023929","6736641","10562842","145727451","0","126255209"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30080192","600475563","439841617","23915325","287287096","5942367","11263392","134301199","0","115014046"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30330368","605480275","445173899","23747499","289129033","5510494","11104325","138004103","0","119264276"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30076576","601496529","440694974","23973805","290304674","5199384","11219722","132162920","0","113058846"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30088608","601735867","441496783","23885959","285087646","7683227","11194668","138324181","0","119047212"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30104608","600963007","440152543","24034933","288387136","6500484","11119760","133655581","0","114341296"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30115104","602265751","441613387","24045217","285279221","5578748","11282485","138034808","0","117934812"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30108576","602135732","441734116","23864500","290985770","6546141","11117525","132703826","0","113121916"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30116128","576167816","393739028","27109004","345868483","279586","11012397","29670249","0","8404934"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30103840","602041422","440863022","24160310","342950593","232203","11434213","79375788","0","59936895"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30147680","601822759","441118314","24080129","343212082","192323","11333595","79573820","0","59340491"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30078624","601538314","440526247","24144391","343092693","275653","11474150","78924916","0","59379544"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30121856","602339919","441962158","23977569","342396980","258895","10930274","81801960","0","62186871"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30132768","602621169","441638911","24142719","341840558","216385","11317295","81453313","0","62094729"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30423136","608426809","447809224","24056247","343964981","132134","11400977","85544183","0","66045259"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30109632","601065948","440291260","24152615","344584671","170526","11360818","77359444","0","58414612"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30374624","607457675","446712569","24225686","344891507","429026","11263493","83596404","0","64122847"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30694976","612768769","452396987","24033345","344228707","398817","11263338","90047370","0","70464669"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30092032","599628892","438891778","24123312","344003496","408886","11350003","76598326","0","56997196"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30401248","607989331","447096640","24195122","344883173","437639","11400964","83851895","0","64030774"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30419168","602389466","414096458","27317544","357786909","65576","11539446","37513381","0","14464639"
