"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:17 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.869744","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092703","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124380","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Process","0","0","-","all","0","48","1721151872","33912310899","10331589634","10374318876","24042607463","1124227210","6491016077","99033339795","6138798015","97856236380"
"FAPP-cpupa","Thread","0","0","0","all","0","1","286978720","5300575033","2521169817","2336498498","589269099","641812724","229382492","3063997050","160452576","2560140138"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30105664","602078840","167008612","172147559","576983350","9238048","133267831","2042772592","127145485","2027196718"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30245632","604878430","164994783","170651371","577065088","9364283","133301876","2043255344","127153948","2027330036"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30248608","604937675","164875771","170067611","577067861","8906973","133303058","2043256028","127141588","2027126808"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30335168","604480624","170991074","176732029","576528724","10836486","133285561","2042753390","127166807","2027554976"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30131776","601523542","169186775","175897643","576970018","10832131","133297461","2042934344","127162246","2027490136"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30270016","605364325","170380872","175985043","577082439","10931849","133304492","2042828892","127153581","2027359064"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30195680","602801332","169777814","175516141","576483109","11120718","133276210","2042591360","127136880","2027074756"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30226048","604485413","170110627","177782836","577051131","11472640","133281360","2042433096","127165018","2027519194"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30252160","604936187","170388970","176447449","577044581","10944761","133283330","2042717354","127142842","2027167066"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30142560","602815007","169882004","177060447","576996359","11148480","133326201","2043184348","127156612","2027399622"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30194112","603846620","169611037","175708639","577028406","10579231","133273886","2042573318","127123827","2026853470"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30287008","590783151","167356050","192493832","483860094","10100954","133198845","2041394386","127250856","2028877094"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30257536","605041831","165171618","167797106","483817022","9414360","133233160","2042066626","127208905","2028227378"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30314944","605187001","165503796","168361801","483861215","10369046","133256312","2042468354","127216462","2028355650"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30310560","606176332","164968010","167729790","483874260","9866922","133220991","2041991520","127221247","2028412690"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30317600","605181747","164927104","167752840","483861789","9759237","133208130","2041698504","127208225","2027503066"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30231552","604594563","165187111","168026838","483837377","9846672","133221804","2041883922","127223317","2027768453"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30239264","604749601","164771040","167710013","483841779","10019550","133205146","2041563851","127194691","2027293692"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30284544","605656103","164905711","168075930","483862195","10450333","133185576","2041351044","127210587","2027543445"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30246400","603815515","164810705","168129606","483829077","10443306","133184731","2041147239","127243459","2028052601"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30366848","607299399","165104781","168681176","483901415","10174344","133201042","2041381887","127219506","2027684333"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30099808","600827867","165266699","168523708","483740187","10142751","133215152","2041727690","127232193","2027895122"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30212864","602059517","164903759","168067300","483296780","9820128","133187410","2041338447","127207543","2027472367"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30146112","595898140","167261912","192808665","468615488","9962202","133194752","2041369298","127215810","2027605040"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30248096","603848991","165070517","168058526","469107261","9872693","133204134","2041476865","127192469","2027226636"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30345248","606817833","165064641","167962999","469183862","10143943","133232662","2041928782","127211470","2027538604"
