"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:21 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.901398","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091526","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123264","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","48","1714413824","33667620297","12708984","656903664","454170973","235312048","77522362","0","0","10176453"
"FAPP-cpupa","Thread","0","0","0","all","0","1","290143968","5244371119","486455","14311378","10052111","9711977","2135779","0","0","281704"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30048864","599796010","337206","13357771","9435243","3758039","1638912","0","0","280009"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30020576","600317547","333562","13314920","9409884","4202162","1741948","0","0","257577"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30047136","600907715","288662","13303612","9425369","3154152","1601288","0","0","244772"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30138016","602588271","284361","13718196","9478699","5175596","1658710","0","0","249351"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30415616","608273883","207811","13675416","9434382","4216515","1542965","0","0","185569"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30084992","600529120","304280","13679358","9473357","6743028","1657069","0","0","233863"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30102912","601959108","182727","13686265","9444368","3049328","1509322","0","0","186673"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30084064","601584775","250904","13696634","9455084","5079184","1733318","0","0","219520"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30097824","601822102","299537","13712618","9465128","6724831","1675662","0","0","221929"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30063488","601169738","206802","13692334","9451439","3870383","1696784","0","0","202563"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30080672","601576746","221399","13765134","9477121","3757283","1497291","0","0","213091"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30417056","584315593","250010","13717182","9464073","4727544","1654168","0","0","208631"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30225280","604370175","245074","13731815","9481603","3607009","1508100","0","0","209006"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30099936","600873450","290751","13666183","9451086","7342082","1757046","0","0","211496"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30100672","601918390","252180","13718162","9483928","4097624","1617710","0","0","215859"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30109664","602099821","253031","13670635","9446265","4801652","1504374","0","0","195682"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30278304","605531693","262409","13667692","9435835","5717431","1641265","0","0","195809"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30202080","603947953","227156","13658546","9441604","3807989","1479981","0","0","181983"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30061312","600113792","273330","13697792","9450962","4925112","1587490","0","0","198498"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30049824","599805155","268231","13699833","9452978","7372571","1589330","0","0","199493"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30156608","603096119","231882","13720786","9441652","3648223","1574517","0","0","185826"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30105536","602074571","254654","13733806","9452321","5408144","1603182","0","0","188879"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30008736","599036246","223202","13748645","9456291","3083811","1522543","0","0","163214"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30391264","592843643","274803","13669811","9466666","5721353","1592766","0","0","210761"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30078976","601545246","282722","13698621","9451494","5137712","1665550","0","0","217670"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30612800","612221230","253089","13702543","9455325","3954251","1601604","0","0","206570"
