"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:24 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.907638","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091276","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123657","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Process","0","0","-","all","0","48","1713873184","33710358778","12203343031","12169543715","3","7536084477","882222940","5871399658","279760145","146397865"
"FAPP-cpupa","Thread","0","0","0","all","0","1","290768032","5313201331","285752311","253532195","3","1288361369","375815413","122361974","37375051","3069747"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30108448","602133920","253565760","253532160","0","131671849","10781234","122330257","5167350","3049532"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30307232","606108132","253565760","253532160","0","131674985","10781113","122330257","5167337","3049535"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30150816","602980505","253565760","253532160","0","131674945","10780984","122330257","5167337","3049533"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30218656","604277591","253565760","253532160","0","131649711","10755957","122330247","5167747","3049532"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30206272","601928063","253565760","253532160","0","131643174","10751858","122330257","5167337","3049536"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30020256","599209628","253565760","253532160","0","131649031","10755302","122330252","5167332","3049535"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30008288","600130535","253565760","253532160","0","131637832","10750724","122330257","5167337","3049533"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30013472","599151865","253565760","253532160","0","131707481","10792805","122330257","5167774","3049531"
"FAPP-cpupa","Thread","0","0","9","all","0","1","29976800","598355784","253565760","253532160","0","131639552","10751741","122330252","5167332","3049532"
"FAPP-cpupa","Thread","0","0","10","all","0","1","29978976","598384465","253565760","253532160","0","131649000","10755082","122330252","5167332","3049532"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30034048","600645356","253565760","253532160","0","131738644","10821330","122330252","5167332","3049535"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30203136","596952094","253565760","253532160","0","164762414","10927724","122330242","5167742","3049542"
"FAPP-cpupa","Thread","0","0","13","all","0","1","29999872","599962096","253565760","253532160","0","131640759","10750639","122330247","5167327","3049536"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30178144","603526660","253565760","253532160","0","131674467","10780926","122330247","5167327","3049536"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30036032","600686202","253565760","253532160","0","131738653","10821423","122330247","5167327","3049535"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30012608","600216377","253565760","253532160","0","131754563","10817227","122315127","5152627","3049533"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30113536","602236169","253565760","253532160","0","131625685","10735472","122315127","5152207","3049535"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30255040","603909419","253565760","253532160","0","131636006","10739504","122315127","5152207","3049532"
"FAPP-cpupa","Thread","0","0","19","all","0","1","38568096","771323751","253565760","253532160","0","131690623","10776889","122315127","5152207","3049536"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30292288","605742884","253565760","253532160","0","131670787","10770748","122315127","5152627","3049531"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30027200","600405769","253565760","253532160","0","131678383","10773130","122315127","5152207","3049533"
"FAPP-cpupa","Thread","0","0","22","all","0","1","29978432","598342769","253565760","253532160","0","131636609","10739959","122315127","5152207","3049534"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30231648","604535283","253565760","253532160","0","131635180","10739040","122315127","5152207","3049532"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30006976","576226512","253565760","253532160","0","140887996","10938439","122315112","5152612","3049544"
