"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:28 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.913927","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091891","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123427","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Process","0","0","-","all","0","48","1716738112","33903499612","5829856923","3656842968","951018294","9026372747","978559478","3940","55631630","563832361"
"FAPP-cpupa","Thread","0","0","0","all","0","1","291396864","5458245130","1527532802","93522288","32621538","133712993","23121152","35","4058605","471927840"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30063456","601235784","85466103","83318223","16868009","127497792","18522668","103","3832087","2794644"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30185056","603666124","85713735","84702041","18088305","129546903","17139948","36","3650237","2695099"
"FAPP-cpupa","Thread","0","0","3","all","0","1","39012000","780135246","85672556","85068585","19423637","131577015","16053395","22","3225251","2678370"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30043424","600832595","86598586","88104571","18376448","121032443","18241174","50","4860976","2212492"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30074784","600304176","86523684","95689551","21179846","117413138","15286631","120","4634775","2558142"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30290208","605770413","86853764","89954726","19274492","120243952","17264811","19","4053910","2583112"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30052384","601011357","85841226","94845906","20718330","120901452","15451944","549","3754132","2489753"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30292064","605804177","87598840","96981024","21572107","111479411","16110436","7","5985648","2486775"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30058272","601130507","85286961","96783076","20028716","118337833","15126879","27","4360783","2398336"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30057440","600008629","86857807","95341522","20629624","112719885","15353454","8","4469486","2598761"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30033504","600634160","86040208","98009290","20300524","118729637","14498005","81","4571892","2459339"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30036096","594711828","95194406","66648943","18079175","209936376","23629936","67","137815","1632160"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30034368","600654198","92226710","64025372","16618786","211221929","23137340","61","127507","1697403"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30050144","600904401","91803791","68822437","17967228","207001327","21682618","38","119169","1868523"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30029600","599465498","91262848","68285866","17459115","208322486","21774929","96","160945","1750301"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30050816","599831279","90567445","69741436","18967360","206489622","20060078","195","129971","1873918"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30042976","600824417","92061417","66175488","18156052","207754296","22129355","282","155582","1488700"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30598304","610736208","92092633","70496595","19818078","205122451","20403843","132","146133","1781105"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30289472","605752719","92374806","73109173","20229351","203787654","19877867","246","112732","1804383"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30192192","603745332","92219193","72449125","21616339","203789994","19040335","0","259167","1663204"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30312800","606221269","92007115","74143172","21267572","203726188","20038241","12","316064","1718179"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30031200","599483658","91785419","71272432","20566273","204635119","19800198","17","422247","1568213"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30056768","601038094","91967720","75027937","20666712","203365107","20038591","65","303877","1766111"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30060064","586326664","93145237","69219824","19107473","213946739","20812230","71","13974","1947325"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30044800","600862556","92235152","66165477","17036325","217236753","23530501","51","12801","1832717"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30131392","601455014","93265454","65044875","17484200","216213903","23417853","76","10938","1664718"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30042208","600809942","93186927","69592557","18602408","213648852","21613393","121","32072","1749287"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30219872","604362387","94451089","71058945","20770132","212436137","21186397","94","62755","1793907"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30048640","600937883","94732254","71127662","19490488","212155636","22712427","171","54262","1844903"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30032960","600624423","93160317","71056512","19878562","210177644","21108655","50","39865","1753189"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30377984","607467212","93363459","72369183","19891963","209846820","21282223","121","54467","1749208"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30105376","600994340","93989443","73441222","22100711","211406779","19686755","17","145535","1763329"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30254560","603906910","93262450","75870985","21520025","208895868","20083862","18","144668","1888117"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30032224","600610019","94558960","72320044","21108816","211954291","21353706","10","157317","1674532"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30025792","600420479","92248438","74558575","20652611","209044642","20116428","81","109420","1747981"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30237120","580835798","96239588","69326355","18382358","218108083","24010054","39","105649","1977652"
"FAPP-cpupa","Thread","0","0","37","all","0","1","30066560","600202171","92150069","67964728","16266369","216996020","23295608","127","87450","2041353"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30133760","602640728","91918654","69549134","17273553","216101013","23272395","66","71032","1940270"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30055328","599913813","94379067","66559867","17612180","217288395","24476200","186","106611","1445278"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30082336","601612813","94372786","67072692","18619809","212873883","23634421","117","66737","1534966"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30053440","600975746","93453299","72798361","19419352","209347289","22029263","97","31409","1869956"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30084800","601661031","93239536","75492390","20712290","208590606","21150062","3","30744","1957633"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30347040","606906041","94557925","76131480","21612643","208918552","21415512","78","31411","1893115"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30373792","607369405","93572053","73077590","20807894","209880224","21310841","2","113168","1826592"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30156064","601939220","94500950","72731119","19929139","208809988","22742198","33","93938","1671855"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30160992","602078425","93871529","75007325","20695933","206747529","20421757","13","111044","1807991"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30326816","606439393","94452512","76787287","21549443","207402098","20112909","30","95372","1961624"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","563662368","9892464425","1331710592","1861921937","513824745","462423429","313923996","3940","0","86394668"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11936672","211256342","27002654","41163201","10730416","13817368","5936596","35","0","1926757"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11977248","211855392","25449924","45513641","9465148","9881296","5652029","103","0","2642764"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12056224","213139776","26517309","48400406","10434481","8765012","5965111","36","0","2536568"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","12060832","213097807","25895360","50482728","10763750","6795320","5210613","22","0","2519115"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","12002400","211888514","27319844","41735210","10825578","13364890","6544552","50","0","2059650"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12067968","213324970","26592681","49671605","11443197","6885645","4954524","120","0","2400350"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","12026976","212393007","26821506","46327008","11025109","8905357","5602563","19","0","2421495"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12051808","212853683","25998970","49140172","11393937","7146242","4396141","549","0","2337152"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12078624","213158472","27212610","47965638","12014897","8313751","5185754","7","0","2340464"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12089568","213662746","26073124","47253272","11504197","9458439","4251593","27","0","2235070"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12100448","213888333","27056492","48501741","12015210","8279717","4872785","8","0","2422221"
