"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:32 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.813222","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091471","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.124290","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0192","0x0193","0x0194","0x018b","0x80c6","0x80c4","0x80c7","0x80c5"
"FAPP-cpupa","Process","0","0","-","all","0","48","1711353664","33851455164","1476876550","1076567158","5212118251","137659287","0","97356349440","33799291","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","281326336","5312845556","384544329","379737428","517471972","7884035","0","2028257280","32220091","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30265376","605271408","22924182","13369716","100069242","2584349","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30022048","600407700","22837579","13384793","100021506","2571159","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30052224","600953320","23068488","13528731","99989689","2733012","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30298016","604829283","23150119","13597956","99952881","2807380","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","29964992","599265301","23318212","13758778","100135453","2854030","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30079296","600463448","23097217","13530284","100000041","2787070","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30221248","604390495","23242656","13481383","99911441","2730614","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30012768","600219699","22850089","13603785","99908333","2649917","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30020480","600277595","23277579","13525319","99966171","2789667","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30009344","600151635","22898624","13551537","99937785","2641686","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30017184","600309334","23124246","13563890","99989182","2767118","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30037984","586004461","23334924","34783748","102816087","2817587","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30035200","600614412","23609697","13908211","99680669","2924790","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30184480","603593517","23395888","13815349","99712379","2800946","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30230592","604576724","23432036","13877145","99616760","2805632","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30051200","599849538","23277478","13934645","99542027","2759592","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","17","all","0","1","37221056","744311946","23421449","13892047","99630201","2817768","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30264960","604135461","23390920","13894024","99726611","2840337","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30193024","603825781","22955759","13863777","99569010","2585437","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30019616","600357165","23415213","13963227","99584318","2841074","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30007040","598930821","23048049","13878639","99530463","2602980","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30309760","606159159","22985705","13828439","99621971","2626025","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30059776","600082197","23483342","13951598","99571483","2760711","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30311008","582560123","23409439","20301437","103084092","2801240","0","2028257280","33600","0"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30063200","600116821","23352394","13837351","99618981","2821382","0","2028257280","33600","0"
