"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:35 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.858043","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.092257","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123210","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Process","0","0","-","all","0","48","1714358912","33769927938","4882824","4079735865","1311169769","309704187","5865707083","7012930866","2543098521","2411726534"
"FAPP-cpupa","Thread","0","0","0","all","0","1","285808224","5259821923","101602","659258122","120290711","26212751","1149828172","1641846501","1120942945","849443553"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30102912","600915840","101377","72014760","28940928","9553482","100489799","112055683","29895382","33597455"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30451424","607769719","101381","72761725","29080784","9577937","100457150","112103923","29761196","33475239"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30180608","603451095","101379","72266838","29005783","9568344","100370187","112364359","29206600","32758028"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30083936","601644287","101722","72156354","28969142","9562033","100395944","112541234","29355486","32781298"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30199424","603953883","101669","72400863","29016675","9570304","100606235","112648338","29980287","33316224"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30081152","601526960","101667","72133021","28966374","9561518","100375548","112545787","29451368","33049945"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30213088","604226831","101714","72406728","29022301","9571284","100439512","112411793","29953030","33356268"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30075328","601471227","102004","72123660","28965621","9561417","100287873","112478354","29578703","33151780"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30114528","602254469","101884","72127967","28981766","9564218","100436271","112494855","29599064","32828830"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30073568","600260845","101992","72009238","28927124","9551035","100420212","112628376","29531847","33001595"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30091008","601784144","101948","72042130","28972021","9562534","100333081","112541287","29280065","32439323"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30520704","603726175","101355","72928334","24231060","4922770","101018962","145805090","48205992","50188862"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30099520","601855513","101378","72305923","24201432","4919901","100494655","113314771","29806768","32584782"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30145408","602813062","101369","72405015","24220560","4923304","100249383","113234022","29212568","32176114"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30140576","602718555","101364","72373204","24218659","4922990","100388761","113287917","29621004","32280999"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30434720","607514156","101797","72908920","24303395","4936088","100183583","113093155","29688611","32609087"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30439136","608690087","101732","73061964","24339293","4944275","100188755","113387408","29018173","31644198"
"FAPP-cpupa","Thread","0","0","18","all","0","1","30437696","608718757","101840","73016897","24340074","4944419","100195194","113052549","29563477","32603198"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30178080","603467419","101788","72465721","24233819","4925651","100288684","113258847","29693395","32627063"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30082048","601605683","102063","72249130","24196844","4919101","100078944","113289466","29465544","32283207"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30374304","606353811","102062","72737297","24280251","4932027","100180259","113246277","29694659","32592332"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30141184","602788987","102031","72346233","24220356","4923305","100035097","113279139","29261045","32139660"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30158656","603081137","102094","72356315","24225987","4924265","100182072","113235286","29466934","32182462"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30436192","585038484","101349","70636495","23709427","4894379","100768946","122697027","35940331","38894467"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30143488","602834848","101356","72411116","24053753","4957580","100268704","113238904","29417736","32302918"
"FAPP-cpupa","Thread","0","0","26","all","0","1","30484064","608512055","101351","73045108","24156418","4973793","100192899","113364024","29077964","32079608"
"FAPP-cpupa","Thread","0","0","27","all","0","1","30195488","602776026","101353","72385101","24040334","4953367","100280816","113187150","29503522","32438266"
"FAPP-cpupa","Thread","0","0","28","all","0","1","30721312","614391319","101856","73669839","24285274","4998680","100073548","113172558","29335407","32126210"
"FAPP-cpupa","Thread","0","0","29","all","0","1","30226848","604501917","101870","72601637","24087197","4963510","100387931","113298058","29332762","32074311"
"FAPP-cpupa","Thread","0","0","30","all","0","1","30074496","601455459","101992","72236896","24026144","4952682","100181080","113207507","29364708","32362631"
"FAPP-cpupa","Thread","0","0","31","all","0","1","30421056","607307148","101904","72853994","24131836","4969504","100175027","113194346","29488927","32338862"
"FAPP-cpupa","Thread","0","0","32","all","0","1","30088128","601726501","102149","72216720","24031518","4953643","100297241","113261627","29885119","32888092"
"FAPP-cpupa","Thread","0","0","33","all","0","1","30193568","603774132","101931","72449566","24072270","4960844","100342175","113286434","29759520","32702520"
"FAPP-cpupa","Thread","0","0","34","all","0","1","30089888","601761403","102015","72241539","24032237","4953767","100115479","113272976","29324001","32200226"
"FAPP-cpupa","Thread","0","0","35","all","0","1","30230016","604499448","101991","72511150","24086875","4963425","100239490","113487668","29728981","32465401"
"FAPP-cpupa","Thread","0","0","36","all","0","1","30218784","589814775","101377","71179031","23855423","4880621","100817909","128309623","38926723","41618005"
"FAPP-cpupa","Thread","0","0","37","all","0","1","37502112","748830969","101368","88361596","26953680","5440093","100476325","113350841","29946321","32851983"
"FAPP-cpupa","Thread","0","0","38","all","0","1","30097120","601799868","101385","72237504","24088115","4923041","100295608","113185107","29504689","32611124"
"FAPP-cpupa","Thread","0","0","39","all","0","1","30078048","600448294","101365","72108237","24050198","4914292","100353187","113464563","29136581","31860740"
"FAPP-cpupa","Thread","0","0","40","all","0","1","30476224","609489319","101809","73148763","24242654","4950379","100357283","113203996","29664183","32350376"
"FAPP-cpupa","Thread","0","0","41","all","0","1","30113056","602222431","101783","72300195","24096911","4924608","100439614","113215916","29516572","32247667"
"FAPP-cpupa","Thread","0","0","42","all","0","1","30164128","603247435","101849","72435600","24117316","4928241","100219621","113258376","29245407","32153810"
"FAPP-cpupa","Thread","0","0","43","all","0","1","30454432","608982835","101743","73041328","24231969","4948511","100374319","113213672","29542716","32324281"
"FAPP-cpupa","Thread","0","0","44","all","0","1","30204096","602915744","101979","72379387","24099271","4923022","100204119","113196917","29407725","32462671"
"FAPP-cpupa","Thread","0","0","45","all","0","1","30397536","607913077","101859","72915958","24210729","4944784","100250153","113254805","29446489","32376604"
"FAPP-cpupa","Thread","0","0","46","all","0","1","30461632","608107966","102001","72916092","24203554","4941440","100230133","113232871","29473574","32279495"
"FAPP-cpupa","Thread","0","0","47","all","0","1","30259968","605161920","101977","72596654","24155706","4935028","100441143","113231483","29894420","32604764"
"FAPP-cpupa","Process","0","0","-","kernel","1","40320","563996192","9900746452","4796685","1353769178","556970491","127241920","3927742964","4372699080","568372414","632864051"
"FAPP-cpupa","Thread","0","0","0","kernel","1","840","11987232","212244336","99598","28786601","12808224","3606279","82251695","90665303","11786364","12963772"
"FAPP-cpupa","Thread","0","0","1","kernel","1","840","11996448","211911738","99587","28711650","12798599","3604966","82212244","90273972","12098085","13567632"
"FAPP-cpupa","Thread","0","0","2","kernel","1","840","12057760","212684278","99591","28773788","12825290","3613459","82123999","90313298","12023250","13549772"
"FAPP-cpupa","Thread","0","0","3","kernel","1","840","11984096","212169596","99589","28746682","12813060","3608555","82158283","90596649","11861178","13170142"
"FAPP-cpupa","Thread","0","0","4","kernel","1","840","11981792","211804968","99933","28756208","12802880","3607367","82128207","90692473","11799366","13207941"
"FAPP-cpupa","Thread","0","0","5","kernel","1","840","12046752","212785877","99869","28797711","12821211","3611209","82105231","90644006","12025752","13478770"
"FAPP-cpupa","Thread","0","0","6","kernel","1","840","12018912","212127959","99877","28770742","12810278","3609279","82042303","90542760","11869375","13365167"
"FAPP-cpupa","Thread","0","0","7","kernel","1","840","12075840","213169378","99924","28853660","12834058","3613470","82060318","90562464","12012183","13467056"
"FAPP-cpupa","Thread","0","0","8","kernel","1","840","12075200","212945240","100208","28843968","12801944","3602274","81995824","90569653","11907239","13417212"
"FAPP-cpupa","Thread","0","0","9","kernel","1","840","12084864","213690802","100095","28902802","12836418","3612952","82118766","90603471","11906991","13332834"
"FAPP-cpupa","Thread","0","0","10","kernel","1","840","12058176","212835080","100202","28833331","12814704","3608708","82089986","90678343","11845073","13288233"
"FAPP-cpupa","Thread","0","0","11","kernel","1","840","12095168","214021266","100159","28929608","12846697","3615542","82066036","90601960","11841139","13237749"
"FAPP-cpupa","Thread","0","0","12","kernel","1","840","11576896","202733442","99565","27890382","11151205","2321576","81864274","91302290","11874867","13146177"
"FAPP-cpupa","Thread","0","0","13","kernel","1","840","11564128","202643426","99584","27876225","11155242","2320520","81856977","91285177","11883972","13144119"
"FAPP-cpupa","Thread","0","0","14","kernel","1","840","11572768","202537328","99579","27847736","11149447","2319207","81756923","91266199","11696346","13101323"
"FAPP-cpupa","Thread","0","0","15","kernel","1","840","11546528","202103138","99574","27798418","11139219","2317706","81832905","91321142","11804963","13049934"
"FAPP-cpupa","Thread","0","0","16","kernel","1","840","11597696","203138172","100007","27910786","11165461","2323802","81667241","91217812","11872422","13242479"
