"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:39 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","i25-4109c","0","12"
"FAPP-core","0","0","1","i25-4109c","0","13"
"FAPP-core","0","0","2","i25-4109c","0","14"
"FAPP-core","0","0","3","i25-4109c","0","15"
"FAPP-core","0","0","4","i25-4109c","0","16"
"FAPP-core","0","0","5","i25-4109c","0","17"
"FAPP-core","0","0","6","i25-4109c","0","18"
"FAPP-core","0","0","7","i25-4109c","0","19"
"FAPP-core","0","0","8","i25-4109c","0","20"
"FAPP-core","0","0","9","i25-4109c","0","21"
"FAPP-core","0","0","10","i25-4109c","0","22"
"FAPP-core","0","0","11","i25-4109c","0","23"
"FAPP-core","0","0","12","i25-4109c","1","24"
"FAPP-core","0","0","13","i25-4109c","1","25"
"FAPP-core","0","0","14","i25-4109c","1","26"
"FAPP-core","0","0","15","i25-4109c","1","27"
"FAPP-core","0","0","16","i25-4109c","1","28"
"FAPP-core","0","0","17","i25-4109c","1","29"
"FAPP-core","0","0","18","i25-4109c","1","30"
"FAPP-core","0","0","19","i25-4109c","1","31"
"FAPP-core","0","0","20","i25-4109c","1","32"
"FAPP-core","0","0","21","i25-4109c","1","33"
"FAPP-core","0","0","22","i25-4109c","1","34"
"FAPP-core","0","0","23","i25-4109c","1","35"
"FAPP-core","0","0","24","i25-4109c","2","36"
"FAPP-core","0","0","25","i25-4109c","2","37"
"FAPP-core","0","0","26","i25-4109c","2","38"
"FAPP-core","0","0","27","i25-4109c","2","39"
"FAPP-core","0","0","28","i25-4109c","2","40"
"FAPP-core","0","0","29","i25-4109c","2","41"
"FAPP-core","0","0","30","i25-4109c","2","42"
"FAPP-core","0","0","31","i25-4109c","2","43"
"FAPP-core","0","0","32","i25-4109c","2","44"
"FAPP-core","0","0","33","i25-4109c","2","45"
"FAPP-core","0","0","34","i25-4109c","2","46"
"FAPP-core","0","0","35","i25-4109c","2","47"
"FAPP-core","0","0","36","i25-4109c","3","48"
"FAPP-core","0","0","37","i25-4109c","3","49"
"FAPP-core","0","0","38","i25-4109c","3","50"
"FAPP-core","0","0","39","i25-4109c","3","51"
"FAPP-core","0","0","40","i25-4109c","3","52"
"FAPP-core","0","0","41","i25-4109c","3","53"
"FAPP-core","0","0","42","i25-4109c","3","54"
"FAPP-core","0","0","43","i25-4109c","3","55"
"FAPP-core","0","0","44","i25-4109c","3","56"
"FAPP-core","0","0","45","i25-4109c","3","57"
"FAPP-core","0","0","46","i25-4109c","3","58"
"FAPP-core","0","0","47","i25-4109c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","2.954251","-","-","1"
"FAPP-time-stat","0","0","kernel","1","0.091603","-","-","840"
"FAPP-time-stat","0","0","packB","1","0.123728","-","-","840"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0049","0x0202","0x0059","0x0302","0x0005","0x002d","0x0001","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","48","1728465120","33849089992","454220092","412050832","157903689","154311132","33846238","25626","23879413","10200445"
"FAPP-cpupa","Thread","0","0","0","all","0","1","295429312","5265474126","10050519","9002184","6260227","5983261","1337280","22382","1011476","287390"
"FAPP-cpupa","Thread","0","0","1","all","0","1","30046656","600898734","9451580","8632543","3239593","2979371","687447","34","476574","290680"
"FAPP-cpupa","Thread","0","0","2","all","0","1","30101280","601989798","9412834","8370554","2307316","2023958","688578","35","487711","250549"
"FAPP-cpupa","Thread","0","0","3","all","0","1","30083264","600531825","9429863","8611336","1979595","1672373","678807","36","484379","258685"
"FAPP-cpupa","Thread","0","0","4","all","0","1","30140000","600594849","9478038","8680892","4518075","4464277","691700","33","486181","245311"
"FAPP-cpupa","Thread","0","0","5","all","0","1","30181984","603604487","9440610","8439830","1811404","1768646","672738","32","486163","187678"
"FAPP-cpupa","Thread","0","0","6","all","0","1","30021312","599285490","9477429","8701213","4642795","4590623","691119","33","483202","241750"
"FAPP-cpupa","Thread","0","0","7","all","0","1","30208704","604083135","9448340","8439721","1860780","1755068","679183","32","485021","190476"
"FAPP-cpupa","Thread","0","0","8","all","0","1","30265440","605271219","9446012","8437870","2261271","2212637","683503","34","487893","210134"
"FAPP-cpupa","Thread","0","0","9","all","0","1","30020480","599288256","9483381","8649662","4874661","4833420","682544","33","479485","222056"
"FAPP-cpupa","Thread","0","0","10","all","0","1","30173056","602353574","9455133","8458914","2867151","2812698","681141","32","480624","208620"
"FAPP-cpupa","Thread","0","0","11","all","0","1","30242784","603731035","9481293","8706752","2870443","2762760","700205","33","483792","218920"
"FAPP-cpupa","Thread","0","0","12","all","0","1","30120736","595382715","9485225","8503428","1815236","1779392","723190","599","490114","201660"
"FAPP-cpupa","Thread","0","0","13","all","0","1","30030112","600506931","9475157","8770337","7721060","7681857","681111","36","486247","231441"
"FAPP-cpupa","Thread","0","0","14","all","0","1","30130336","601430605","9450886","8472779","1524739","1486958","691877","34","490861","195015"
"FAPP-cpupa","Thread","0","0","15","all","0","1","30124288","601360544","9481222","8708847","2229714","2122230","702255","32","489012","215009"
"FAPP-cpupa","Thread","0","0","16","all","0","1","30158304","602045965","9448846","8616957","3976653","3938211","696262","32","491336","188396"
"FAPP-cpupa","Thread","0","0","17","all","0","1","30213856","603143585","9443507","8526201","2425916","2385741","684655","36","485977","181273"
"FAPP-cpupa","Thread","0","0","18","all","0","1","38516512","770293425","9453939","8594073","1928245","1892264","708161","37","488348","175054"
"FAPP-cpupa","Thread","0","0","19","all","0","1","30085216","600583715","9442796","8612546","4663958","4557485","679302","36","486080","192665"
"FAPP-cpupa","Thread","0","0","20","all","0","1","30124864","601327024","9465729","8598864","2477740","2442164","684408","33","489863","181316"
"FAPP-cpupa","Thread","0","0","21","all","0","1","30031872","600602011","9436924","8523089","3334846","3300788","690766","33","483961","193537"
"FAPP-cpupa","Thread","0","0","22","all","0","1","30485312","609671523","9441183","8559384","4095673","4060576","694644","29","487539","199054"
"FAPP-cpupa","Thread","0","0","23","all","0","1","30169568","603353035","9453990","8632785","3249712","3145382","690297","35","487783","181952"
"FAPP-cpupa","Thread","0","0","24","all","0","1","30031136","576739175","9463208","8626010","3587641","3553079","690968","589","489686","213012"
"FAPP-cpupa","Thread","0","0","25","all","0","1","30145408","602873960","9448698","8587755","2078261","2042832","672688","32","482876","204240"
